nVertex,arborescence,time
1000,21553,0.794
1000,20398,0.118
1000,17922,0.379
1000,19804,0.069
1000,21282,0.189
1000,19862,0.306
1000,19997,0.607
1000,19978,0.269
1000,19294,0.624
1000,20690,0.183
1000,21498,0.509
1000,19952,0.076
1000,20978,0.105
1000,18321,0.265
1000,20877,0.35
1000,20538,0.114
1000,19860,0.5
1000,21158,0.016
1000,18956,0.112
1000,19746,0.712
1000,20627,0.161
1000,20414,0.595
1000,21027,0.636
1000,20337,0.691
1000,21595,0.588
1000,19642,0.389
1000,20796,0.126
1000,21064,0.079
1000,22071,0.299
1000,19356,0.17
1000,19846,0.54
1000,20396,0.413
1000,20758,0.408
1000,19775,0.043
1000,20369,0.221
1000,20811,0.493
1000,19329,0.653
1000,20354,0.011
1000,19160,0.32
1000,19980,0.382
1000,19436,0.445
1000,18298,0.579
1000,20635,0.484
1000,20734,0.086
1000,21053,0.269
1000,21031,0.019
1000,20449,0.25
1000,19459,0.103
1000,20339,0.037
1000,20254,0.319
1000,20449,0.676
1000,20126,0.825
1000,21124,0.799
1000,19750,0.585
1000,20253,0.663
1000,20246,0.32
1000,20777,0.635
1000,20238,0.044
1000,20785,0.117
1000,20097,0.095
1000,20853,0.213
1000,20751,0.456
1000,20153,0.045
1000,19458,0.105
1000,19540,0.074
1000,21110,0.003
1000,20582,0.428
1000,19394,0.451
1000,20833,0.281
1000,20129,0.439
1000,20765,0.26
1000,22275,0.301
1000,21511,0.043
1000,21518,0.54
1000,19835,0.395
1000,20064,0.056
1000,19914,0.009
1000,20947,0.257
1000,21808,0.15
1000,18686,0.003
1000,20428,0.242
1000,19449,0.691
1000,20694,0.642
1000,21701,0.637
1000,20166,0.677
1000,21217,0.41
1000,18497,0.625
1000,19864,0.558
1000,21511,0.501
1000,20350,0.667
1000,21684,0.555
1000,20099,0.082
1000,21009,0.048
1000,19969,0.105
1000,20418,0.256
1000,19923,0.602
1000,21425,0.092
1000,20712,0.065
1000,21156,0.06
1000,20989,0.268
1000,19761,0.012
1000,19879,0.481
1000,20102,0.524
1000,21041,0.252
1000,19845,0.475
1000,20379,0.184
1000,20254,0.145
1000,20092,0.291
1000,20206,0.57
1000,20276,0.013
1000,19291,0.06
1000,21079,0.686
1000,20688,0.649
1000,19862,0.674
1000,19508,0.618
1000,20749,0.53
1000,20041,0.592
1000,21601,0.449
1000,19755,0.639
1000,19393,0.224
1000,20059,0.024
1000,19444,0.623
1000,20584,0.244
1000,18737,0.575
1000,19418,0.181
1000,19894,0.071
1000,20372,0.335
1000,20354,0.286
1000,19788,0.248
1000,20313,0.401
1000,20326,0.044
1000,20164,0.451
1000,21667,0.09
1000,19994,0.478
1000,20272,0.008
1000,20211,0.246
1000,20749,0.15
1000,20153,0.14
1000,19459,0.064
1000,20491,0.399
1000,20256,0.6
1000,19427,0.349
1000,19740,0.68
1000,19750,0.655
1000,20982,0.587
1000,20196,0.545
1000,20021,0.287
1000,19881,0.482
1000,19410,0.509
1000,20410,0.408
1000,19936,0.476
1000,20389,0.366
1000,19799,0.639
1000,19554,0.588
1000,19847,0.596
1000,20026,0.583
1000,20845,0.578
1000,20496,0.567
1000,20831,0.604
1000,19451,0.006
1000,20935,0.333
1000,20318,0.068
1000,21212,0.139
1000,19609,0.03
1000,19347,0.564
1000,20586,0.045
1000,19817,0.385
1000,19938,0.503
1000,20372,0.296
1000,18363,0.436
1000,21332,0.393
1000,20041,0.295
1000,20395,0.659
1000,19933,0.649
1000,19737,0.687
1000,21241,0.661
1000,20672,0.641
1000,20466,0.308
1000,20548,0.048
1000,20074,0.039
1000,20094,0.648
1000,20191,0.035
1000,20338,0.465
1000,19491,0.029
1000,20200,0.232
1000,20000,0.341
1000,19836,0.595
1000,20848,0.511
1000,18714,0.233
1000,19692,0.608
1000,19884,0.605
1000,20619,0.036
1000,20124,0.336
1000,20612,0.534
1000,20451,0.008
1000,20224,0.537
1000,20097,0.141
1000,20836,0.355
1000,20652,0.27
1000,20863,0.271
1000,19957,0.106
1000,18536,0.026
1000,20110,0.006
1000,20620,0.647
1000,20066,0.64
1000,21313,0.649
1000,21793,0.446
1000,20709,0.475
1000,19549,0.423
1000,20580,0.122
1000,19971,0.4
1000,20241,0.198
1000,19172,0.293
1000,20836,0.453
1000,20296,0.595
1000,19342,0.067
1000,19704,0.216
1000,20053,0.456
1000,20308,0.223
1000,20193,0.359
1000,19499,0.259
1000,20483,0.198
1000,19694,0.005
1000,20741,0.323
1000,22619,0.096
1000,19124,0.271
1000,19235,0.135
1000,20370,0.07
1000,20226,0.008
1000,20301,0.556
1000,20396,0.006
1000,20470,0.419
1000,19466,0.39
1000,21327,0.224
1000,19612,0.721
1000,19785,0.662
1000,19660,0.159
1000,20907,0.715
1000,20684,0.664
1000,20069,0.638
1000,21336,0.48
1000,19692,0.528
1000,20674,0.03
1000,20549,0.515
1000,20331,0.072
1000,19756,0.575
1000,21435,0.296
1000,20233,0.155
1000,19663,0.426
1000,20041,0.037
1000,19789,0.034
1000,20651,0.041
1000,18748,0.071
1000,20337,0.27
1000,19692,0.133
1000,20334,0.359
1000,20453,0.002
1000,20909,0.202
1000,19760,0.126
1000,21297,0.011
1000,19864,0.463
1000,19988,0.011
1000,20020,0.026
1000,20753,0.201
1000,20783,0.682
1000,21180,0.666
1000,20282,0.41
1000,20518,0.684
1000,20712,0.645
1000,20145,0.657
1000,20646,0.48
1000,21569,0.277
1000,20622,0.524
1000,21274,0.129
1000,20855,0.003
1000,19906,0.332
1000,20596,0.258
1000,19796,0.499
1000,20258,0.242
1000,20038,0.361
1000,19496,0.189
1000,20858,0.103
1000,19952,0.013
1000,20748,0.485
1000,21452,0.014
1000,19931,0.461
1000,21243,0.268
1000,20004,0.094
1000,20006,0.542
1000,19812,0.531
1000,20810,0.006
1000,20998,0.465
1000,20897,0.213
1000,20110,0.188
1000,20833,0.004
1000,20911,0.589
1000,20799,0.646
1000,20817,0.648
1000,20690,0.546
1000,20222,0.665
1000,20261,0.36
1000,18920,0.514
1000,18870,0.635
1000,21052,0.296
1000,21394,0.589
1000,20708,0.216
1000,19657,0.66
1000,18953,0.39
1000,19600,0.117
1000,21443,0.114
1000,21645,0.185
1000,19402,0.471
1000,19459,0.091
1000,20586,0.525
1000,21827,0.565
1000,19752,0.068
1000,20393,0.027
1000,20643,0.438
1000,19767,0.008
1000,20581,0.113
1000,20480,0.037
1000,20185,0.607
1000,20123,0.006
1000,19424,0.021
1000,19842,0.164
1000,20262,0.023
1000,20285,0.588
1000,20407,0.195
1000,20765,0.598
1000,19706,0.611
1000,20598,0.669
1000,20144,0.63
1000,20623,0.627
1000,19868,0.074
1000,21619,0.422
1000,21700,0.063
1000,19674,0.042
1000,20528,0.485
1000,21049,0.053
1000,18902,0.255
1000,18985,0.524
1000,19805,0.154
1000,19277,0.006
1000,20074,0.003
1000,20533,0.438
1000,19910,0.633
1000,20356,0.016
1000,20025,0.093
1000,20938,0.134
1000,19820,0.006
1000,19576,0.207
1000,19247,0.501
1000,20323,0.009
1000,20356,0.006
1000,19956,0.335
1000,20119,0.006
1000,21772,0.74
1000,19886,0.704
1000,19981,0.755
1000,21249,0.045
