seed,nVertex,arborescence,time
0,500,756,0.193
1,500,811,0.062
2,500,754,0.079
3,500,865,0.131
4,500,783,0.073
5,500,782,0.288
6,500,756,0.06
7,500,815,0.25
8,500,819,0.239
9,500,799,0.241
10,500,752,0.337
11,500,778,0.267
12,500,778,0.252
13,500,757,0.145
14,500,816,0.209
15,500,770,0.044
16,500,745,0.008
17,500,797,0.3
18,500,786,0.25
19,500,829,0.254
20,500,792,0.102
21,500,785,0.268
22,500,786,0.003
23,500,815,0.007
24,500,778,0.231
25,500,766,0.003
26,500,790,0.07
27,500,820,0.322
28,500,812,0.208
29,500,739,0.046
30,500,757,0.315
31,500,796,0.212
32,500,797,0.006
33,500,801,0.017
34,500,773,0.251
35,500,777,0.052
36,500,802,0.31
37,500,804,0.277
38,500,803,0.003
39,500,812,0.316
40,500,788,0.061
41,500,797,0.081
42,500,749,0.022
43,500,786,0.27
44,500,819,0.011
45,500,775,0.118
46,500,832,0.008
47,500,841,0.235
48,500,761,0.007
49,500,775,0.278
50,500,806,0.313
51,500,812,0.002
52,500,830,0.345
53,500,792,0.005
54,500,796,0.242
55,500,782,0.037
56,500,784,0.144
57,500,807,0.004
58,500,780,0.199
59,500,784,0.255
60,500,771,0.185
61,500,789,0.232
62,500,821,0.008
63,500,806,0.272
64,500,812,0.215
65,500,808,0.026
66,500,742,0.079
67,500,802,0.251
68,500,771,0.105
69,500,801,0.027
70,500,825,0.148
71,500,793,0.204
72,500,768,0.117
73,500,808,0.253
74,500,789,0.244
75,500,809,0.005
76,500,777,0.182
77,500,780,0.083
78,500,782,0.017
79,500,812,0.304
80,500,769,0.039
81,500,820,0
82,500,783,0.003
83,500,838,0.087
84,500,777,0.302
85,500,839,0.008
86,500,768,0.348
87,500,813,0.006
88,500,798,0.006
89,500,797,0.255
90,500,786,0.075
91,500,806,0.096
92,500,802,0.075
93,500,749,0.002
94,500,791,0.19
95,500,787,0.013
96,500,805,0.321
97,500,798,0.006
98,500,778,0.028
99,500,804,0.03
100,500,783,0.201
101,500,827,0.006
102,500,823,0.133
103,500,794,0.021
104,500,807,0.11
105,500,807,0.009
106,500,788,0.107
107,500,813,0.061
108,500,803,0.035
109,500,781,0.224
110,500,781,0.175
111,500,805,0.071
112,500,745,0.219
113,500,810,0.315
114,500,777,0.005
115,500,780,0.003
116,500,803,0.2
117,500,766,0.216
