seed,nVertex,arborescence,time
0,500,756,0.018
1,500,811,0.017
2,500,754,0.018
3,500,865,0.015
4,500,783,0.015
5,500,782,0.016
6,500,756,0.016
7,500,815,0.017
8,500,819,0.016
9,500,799,0.018
10,500,752,0.017
11,500,778,0.017
12,500,778,0.015
13,500,757,0.015
14,500,816,0.017
15,500,770,0.015
16,500,745,0.014
17,500,797,0.015
18,500,786,0.016
19,500,829,0.016
20,500,792,0.016
21,500,785,0.016
22,500,786,0.015
23,500,815,0.015
24,500,778,0.017
25,500,766,0.016
26,500,790,0.017
27,500,820,0.017
28,500,812,0.016
29,500,739,0.016
30,500,757,0.018
31,500,796,0.015
32,500,797,0.016
33,500,801,0.016
34,500,773,0.016
35,500,777,0.016
36,500,802,0.016
37,500,804,0.016
38,500,803,0.015
39,500,812,0.016
40,500,788,0.018
41,500,797,0.016
42,500,749,0.015
43,500,786,0.018
44,500,819,0.015
45,500,775,0.016
46,500,832,0.018
47,500,841,0.017
48,500,761,0.016
49,500,775,0.016
50,500,806,0.018
51,500,812,0.016
52,500,830,0.016
53,500,792,0.016
54,500,796,0.02
55,500,782,0.018
56,500,784,0.015
57,500,807,0.016
58,500,780,0.016
59,500,784,0.015
60,500,771,0.033
61,500,789,0.022
62,500,821,0.019
63,500,806,0.016
64,500,812,0.016
65,500,808,0.016
66,500,742,0.015
67,500,802,0.015
68,500,771,0.016
69,500,801,0.016
70,500,825,0.015
71,500,793,0.015
72,500,768,0.016
73,500,808,0.015
74,500,789,0.015
75,500,809,0.015
76,500,777,0.015
77,500,780,0.016
78,500,782,0.014
79,500,812,0.016
80,500,769,0.015
81,500,820,0.014
82,500,783,0.015
83,500,838,0.015
84,500,777,0.016
85,500,839,0.017
86,500,768,0.016
87,500,813,0.015
88,500,798,0.016
89,500,797,0.016
90,500,786,0.016
91,500,806,0.015
92,500,802,0.015
93,500,749,0.016
94,500,791,0.017
95,500,787,0.016
96,500,805,0.016
97,500,798,0.015
98,500,778,0.016
99,500,804,0.015
100,500,783,0.015
101,500,827,0.016
102,500,823,0.014
103,500,794,0.016
104,500,807,0.016
105,500,807,0.015
106,500,788,0.014
107,500,813,0.016
108,500,803,0.015
109,500,781,0.016
110,500,781,0.016
111,500,805,0.015
112,500,745,0.015
113,500,810,0.016
114,500,777,0.015
115,500,780,0.015
116,500,803,0.016
117,500,766,0.016
118,500,802,0.014
119,500,761,0.016
120,500,802,0.016
121,500,763,0.015
122,500,774,0.014
123,500,823,0.016
124,500,770,0.015
125,500,781,0.015
126,500,748,0.016
127,500,791,0.016
128,500,781,0.015
129,500,751,0.016
130,500,765,0.016
131,500,797,0.015
132,500,803,0.017
133,500,786,0.015
134,500,785,0.015
135,500,784,0.017
136,500,798,0.015
137,500,810,0.014
138,500,762,0.016
139,500,800,0.016
140,500,764,0.015
141,500,773,0.015
142,500,799,0.015
143,500,787,0.016
144,500,790,0.017
145,500,804,0.016
146,500,768,0.015
147,500,788,0.015
148,500,779,0.014
149,500,752,0.016
150,500,779,0.016
151,500,787,0.015
152,500,780,0.016
153,500,786,0.015
154,500,797,0.015
155,500,830,0.016
156,500,775,0.016
157,500,839,0.014
158,500,811,0.015
159,500,796,0.016
160,500,774,0.015
161,500,757,0.016
162,500,788,0.015
163,500,818,0.016
164,500,781,0.015
165,500,804,0.015
166,500,819,0.016
167,500,814,0.016
168,500,770,0.016
169,500,825,0.016
170,500,819,0.015
171,500,789,0.015
172,500,798,0.015
173,500,834,0.015
174,500,774,0.016
175,500,791,0.014
176,500,809,0.018
177,500,780,0.016
178,500,787,0.016
179,500,781,0.015
180,500,780,0.016
181,500,802,0.016
182,500,782,0.016
183,500,796,0.014
184,500,788,0.015
185,500,759,0.015
186,500,788,0.015
187,500,784,0.016
188,500,761,0.014
189,500,803,0.017
190,500,815,0.015
191,500,807,0.014
192,500,757,0.016
193,500,751,0.016
194,500,768,0.015
195,500,803,0.015
196,500,782,0.015
197,500,795,0.016
198,500,804,0.015
199,500,802,0.015
200,500,793,0.015
201,500,799,0.016
202,500,801,0.016
203,500,770,0.016
204,500,814,0.015
205,500,791,0.015
206,500,784,0.015
207,500,767,0.015
208,500,763,0.015
209,500,804,0.015
210,500,822,0.015
211,500,803,0.015
212,500,777,0.014
213,500,794,0.015
214,500,815,0.017
215,500,844,0.016
216,500,791,0.015
217,500,801,0.019
218,500,784,0.015
219,500,776,0.016
220,500,747,0.015
221,500,810,0.015
222,500,760,0.015
223,500,771,0.017
224,500,795,0.015
225,500,745,0.015
226,500,769,0.015
227,500,769,0.015
228,500,768,0.015
229,500,757,0.02
230,500,780,0.015
231,500,767,0.016
232,500,782,0.015
233,500,779,0.015
234,500,747,0.015
235,500,813,0.015
236,500,794,0.015
237,500,813,0.016
238,500,776,0.015
239,500,800,0.017
240,500,716,0.016
241,500,778,0.015
242,500,794,0.016
243,500,812,0.016
244,500,764,0.014
245,500,824,0.019
246,500,778,0.015
247,500,803,0.015
248,500,836,0.015
249,500,771,0.016
250,500,758,0.015
251,500,775,0.014
252,500,786,0.016
253,500,821,0.015
254,500,776,0.016
255,500,761,0.015
256,500,779,0.016
257,500,804,0.015
258,500,754,0.015
259,500,790,0.015
260,500,759,0.015
261,500,785,0.015
262,500,802,0.015
263,500,777,0.016
264,500,762,0.015
265,500,803,0.015
266,500,767,0.016
267,500,720,0.016
268,500,833,0.014
269,500,769,0.016
270,500,769,0.015
271,500,764,0.015
272,500,816,0.015
273,500,839,0.015
274,500,803,0.015
275,500,824,0.016
276,500,781,0.016
277,500,812,0.015
278,500,770,0.016
279,500,775,0.015
280,500,771,0.016
281,500,800,0.015
282,500,765,0.016
283,500,785,0.015
284,500,786,0.023
285,500,770,0.02
286,500,802,0.018
287,500,775,0.016
288,500,788,0.015
289,500,787,0.015
290,500,822,0.015
291,500,809,0.016
292,500,776,0.016
293,500,807,0.016
294,500,783,0.015
295,500,833,0.017
296,500,788,0.016
297,500,746,0.016
298,500,785,0.016
299,500,807,0.015
300,500,763,0.015
301,500,793,0.014
302,500,750,0.017
303,500,763,0.016
304,500,803,0.015
305,500,799,0.016
306,500,753,0.016
307,500,792,0.016
308,500,793,0.017
309,500,791,0.016
310,500,797,0.015
311,500,815,0.016
312,500,804,0.016
313,500,791,0.016
314,500,754,0.014
315,500,762,0.016
316,500,774,0.015
317,500,751,0.015
